Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-07,UANG,Pakuan Tbk.,--UO2135000000H111------------,3180.0,3190.0,3340.0,3160.0,3170.0,-10.0,195300,626081000,217,2536.0,3170,2300,3160,3600,1210000000,1210000000,168553000,82200,23300,0,0,0
2026-04-06,UANG,Pakuan Tbk.,--UO2135000000H111------------,3280.0,3000.0,3340.0,3000.0,3180.0,-100.0,248200,784666000,370,2544.0,3180,3500,3170,100,1210000000,1210000000,168553000,73300,46900,0,0,0
2026-04-02,UANG,Pakuan Tbk.,--UO2135000000H111------------,3500.0,3490.0,3490.0,3280.0,3280.0,-220.0,510200,1693037000,597,2624.0,3280,400,3270,18500,1210000000,1210000000,168553000,152000,84300,0,0,0
2026-04-01,UANG,Pakuan Tbk.,--UO2135000000H111------------,3370.0,3460.0,3500.0,3410.0,3500.0,130.0,191600,665047000,308,2800.0,3520,1400,3500,300,1210000000,1210000000,168553000,47400,44400,0,0,0
2026-03-31,UANG,Pakuan Tbk.,--UO2135000000H111------------,3450.0,3450.0,3530.0,3360.0,3370.0,-80.0,126200,430030000,276,2696.0,3380,1000,3370,143300,1210000000,1210000000,168553000,68700,3500,0,0,0
2026-03-30,UANG,Pakuan Tbk.,--UO2135000000H111------------,3670.0,3670.0,3670.0,3300.0,3450.0,-220.0,498800,1705954000,578,2760.0,3470,500,3450,2000,1210000000,1210000000,168553000,139900,112300,0,0,0
2026-03-27,UANG,Pakuan Tbk.,--UO2135000000H111------------,3800.0,3800.0,3900.0,3660.0,3670.0,-130.0,266800,1002322000,409,2936.0,3670,81500,3660,2000,1210000000,1210000000,168553000,52300,67400,0,0,0
2026-03-26,UANG,Pakuan Tbk.,--UO2135000000H111------------,3590.0,3680.0,4000.0,3610.0,3800.0,210.0,724800,2741855000,925,3040.0,3800,2900,3760,200,1210000000,1210000000,168553000,100700,303200,0,0,0
2026-03-25,UANG,Pakuan Tbk.,--UO2135000000H111------------,3400.0,3400.0,3840.0,3400.0,3590.0,190.0,409800,1469631000,509,2872.0,3600,200,3590,52200,1210000000,1210000000,168553000,94900,81000,0,0,0
2026-03-17,UANG,Pakuan Tbk.,--UO2135000000H111------------,3400.0,3410.0,3530.0,3360.0,3400.0,0.0,188600,645100000,379,2720.0,3410,200,3400,7200,1210000000,1210000000,168553000,59400,21100,0,0,0
